assay,feature_set,model,internal_n,internal_spearman,internal_worst_20_recall,internal_worst_20_auroc,external_n,external_spearman,external_worst_20_recall,external_worst_20_auroc,externally_useful,beats_current_anchor
HIC,physics_global,ridge,244,0.46796449020423025,0.42857142857142855,0.760858189429618,79,0.4909709526411298,0.5625,0.7599206349206349,True,False
PR_CHO,physics_global,hist_gradient_boosting,197,0.38920471859924216,0.4,0.6753184713375796,80,0.19753856594545838,0.3125,0.5615234375,False,False
HIC,esm2_35M_plus_physics,ridge,244,0.44619386669168665,0.42857142857142855,0.7450549450549451,79,0.5200148533948793,0.4375,0.7152777777777778,True,False
PR_CHO,esm2_35M_plus_physics,ridge,197,0.5006667055148981,0.45,0.7485668789808917,80,0.04801627170799345,0.3125,0.6181640625,False,False
HIC,ab_roberta_plus_physics,ridge,244,0.16956798762785855,0.24489795918367346,0.6135007849293563,79,0.30695726961747827,0.25,0.5982142857142858,False,False
PR_CHO,ab_roberta_plus_physics,ridge,197,0.3052695261781186,0.425,0.7009554140127389,80,0.1751043489781718,0.25,0.5634765625,False,False
HIC,MOE,ridge,244,0.6530633414997471,0.5918367346938775,0.8542124542124542,79,0.5127599645226099,0.4375,0.7251984126984127,True,False
PR_CHO,MOE,ridge,197,0.39889778684672306,0.4,0.6952229299363059,80,0.17583258010485855,0.4375,0.6689453125,False,False
HIC,MOE_plus_physics,ridge,244,0.6269070652684867,0.5918367346938775,0.8369440083725799,79,0.5607323085588746,0.4375,0.7698412698412699,True,False
PR_CHO,MOE_plus_physics,ridge,197,0.448057000182653,0.5,0.7199044585987262,80,0.2467294039868176,0.5,0.70703125,False,False
HIC,MOE_plus_physics_plus_esm2_35M,ridge,244,0.5106612633571322,0.4489795918367347,0.780743066457352,79,0.5597584979719926,0.4375,0.7361111111111112,True,False
PR_CHO,MOE_plus_physics_plus_esm2_35M,ridge,197,0.5083701110851836,0.475,0.7509554140127388,80,0.0549462130748516,0.375,0.6298828125,False,False
HIC,MOE_plus_physics_plus_ab_roberta,ridge,244,0.29936121708877317,0.40816326530612246,0.6856096284667714,79,0.3711800778223328,0.375,0.6468253968253969,False,False
PR_CHO,MOE_plus_physics_plus_ab_roberta,ridge,197,0.34570428615146515,0.425,0.7184713375796179,80,0.19288728326532983,0.25,0.5751953125,False,False
